Year,Age,p,q,N.ya,age_comp
1984,6,0.345041715,0.278015823,75782.55547,0.25
1985,6,0.387081104,0.577638783,125045.5485,0.6
1986,6,0.632844736,0.599959316,117233.4511,0.62
1987,6,0.637514481,0.375066043,52128.18652,0.37
1988,6,0.383540256,0.505605165,60842.62898,0.54
1989,6,0.367475087,0.275982849,94368.54326,0.3
1990,6,0.483244221,0.552683442,129381.1437,0.55
1991,6,0.368925419,0.496683695,66756.70533,0.52
1992,6,0.400357317,0.480537701,117243.8666,0.55
1993,6,0.498197428,0.576172083,222185.7534,0.59
1994,6,0.44756035,0.410273945,96426.04631,0.41
1995,6,0.478658463,0.495574404,84174.90594,0.5
1996,6,0.407582703,0.323251327,83706.776,NA
1997,6,0.536198926,0.4431884,100541.0078,NA
1998,6,0.465682853,0.336125408,83836.40124,NA
1999,6,0.339471007,0.542021658,165222.6024,0.55
2000,6,0.422920873,0.802652416,118119.4986,0.85
2001,6,0.347546839,0.202920419,25847.32257,0.2
2002,6,0.330267011,0.501421396,69600.71327,0.52
2003,6,0.496635193,0.644572022,80244.21014,0.68
2004,6,0.306267809,0.299411991,38334.83593,0.29
2005,6,0.401321877,0.589757303,45662.0002,0.59
2006,6,0.397171517,0.365977196,25269.35122,0.35
2007,6,0.40474211,0.419775205,22479.91938,0.41
2008,6,0.313929721,0.158974315,15791.70561,0.13
2009,6,0.412456409,0.339539413,80791.02043,0.34
2010,6,0.463316673,0.651438987,69714.85956,0.66
2011,6,0.409056361,0.314194488,25465.5049,0.3
2012,6,0.416938258,0.204864203,34656.8871,0.19
2013,6,NA,0.443515681,89623.15819,0.44
2014,6,NA,0.31330907,50532.71535,0.29
2015,6,NA,0.642414151,82106.99193,0.66
2016,6,NA,0.367869941,39753.64082,0.37
