Year,Age,p,q,N.ya,age_comp
1973,5,0.660548726,NA,NA,NA
1974,5,0.684526024,NA,NA,NA
1975,5,0.572946408,NA,NA,NA
1976,5,0.451248902,0.648419963,100331.5293,0.67
1977,5,0.505202631,0.702323277,81935.84507,0.75
1978,5,0.661810898,0.617671873,112044.2104,0.64
1979,5,0.574038941,0.733257428,163687.5917,0.78
1980,5,0.412311311,0.595206032,101913.5137,0.62
1981,5,0.56299285,0.557338882,92271.92341,0.55
1982,5,0.555660844,0.516583533,124762.493,0.5
1983,5,0.364724024,0.549439004,164520.1998,0.55
1984,5,0.645754562,0.697810933,189869.3335,0.73
1985,5,0.582349217,0.401346045,86951.75792,0.38
1986,5,0.347347999,0.375350394,73391.4219,0.36
1987,5,0.351200818,0.590172275,81917.66702,0.6
1988,5,0.599802277,0.468277464,56485.46635,0.44
1989,5,0.580492047,0.70775281,242373.8878,0.7
1990,5,0.476239223,0.431019682,100947.5789,0.44
1991,5,0.603520084,0.476006618,63984.27163,0.46
1992,5,0.538518801,0.502505381,122588.7131,0.44
1993,5,0.457192002,0.391664423,151562.5491,0.38
1994,5,0.514787065,0.567284515,133598.1978,0.57
1995,5,0.465182808,0.461912456,78591.60563,0.46
1996,5,0.569224647,0.618163948,161479.8513,0
1997,5,0.434212197,0.501908163,113965.2573,0
1998,5,0.485264507,0.611231857,152460.5188,0
1999,5,0.629703199,0.450006919,137404.9818,0.43
2000,5,0.493943133,0.169514175,24969.00415,0.13
2001,5,0.617967786,0.763354375,97204.86433,0.78
2002,5,0.59141536,0.469280737,65340.15482,0.45
2003,5,0.486930668,0.318872251,39675.25207,0.29
2004,5,0.671008447,0.66227219,84770.28312,0.67
2005,5,0.537033101,0.378986976,29330.31053,0.37
2006,5,0.565521333,0.585055665,40530.70337,0.59
2007,5,0.563999604,0.523838169,28078.32628,0.53
2008,5,0.627260068,0.788909811,78620.19837,0.82
2009,5,0.52932338,0.644466337,153176.729,0.64
2010,5,0.472602918,0.318826946,34155.05042,0.32
2011,5,0.547245274,0.606911229,49243.62881,0.61
2012,5,0.548527207,0.73624551,124405.6131,0.75
2013,5,NA,0.49968672,101167.9819,0.5
2014,5,NA,0.652687965,105099.9418,0.67
2015,5,NA,0.318788746,40697.78753,0.3
2016,5,NA,0.587492059,63481.75925,0.58
1970,6,0.353569126,NA,NA,NA
1971,6,0.222673785,NA,NA,NA
1972,6,0.395092883,NA,NA,NA
1973,6,0.316113451,NA,NA,NA
1974,6,0.270745375,NA,NA,NA
1975,6,0.395271487,NA,NA,NA
1976,6,0.526922043,0.302447573,46800.01981,0.27
1977,6,0.482300569,0.263704435,30763.79099,0.22
1978,6,0.304411629,0.32321325,58639.86142,0.3
1979,6,0.378683059,0.241354074,53839.20959,0.2
1980,6,0.556934715,0.378648031,64872.01204,0.36
1981,6,0.401287205,0.424055076,70205.1743,0.44
1982,6,0.412266033,0.448662029,108418.0621,0.47
1983,6,0.604727605,0.398125131,119185.418,0.4
1984,6,0.345189803,0.278301055,75663.22026,0.25
1985,6,0.386419759,0.577156341,125090.6184,0.6
1986,6,0.632171756,0.600334476,117393.2311,0.62
1987,6,0.638097349,0.375665339,52116.28274,0.37
1988,6,0.382533063,0.50356029,60728.0013,0.54
1989,6,0.366985927,0.276300534,94551.64331,0.3
1990,6,0.489806176,0.552790132,129486.3548,0.55
1991,6,0.368424338,0.496227989,66712.21721,0.52
1992,6,0.403635105,0.479213658,116869.4354,0.55
1993,6,0.5020955,0.57679736,223158.8614,0.59
1994,6,0.446081031,0.408731528,96225.23658,0.41
1995,6,0.47919842,0.495677688,84326.41862,0.5
1996,6,0.408077719,0.331411394,86249.01457,0
1997,6,0.536362761,0.436685846,99055.91391,0
1998,6,0.465140021,0.345586599,86212.00734,0
1999,6,0.339002136,0.540021597,164902.3552,0.55
2000,6,0.419587401,0.804070409,118469.1608,0.85
2001,6,0.344756141,0.201819993,25685.13876,0.2
2002,6,0.329645136,0.501472349,69822.55301,0.52
2003,6,0.494470149,0.647174864,80539.83601,0.68
2004,6,0.30601195,0.297309964,38051.66647,0.29
2005,6,0.398639131,0.589390467,45615.61502,0.59
2006,6,0.396634154,0.360318056,24937.49567,0.35
2007,6,0.405990898,0.420106968,22517.75231,0.41
2008,6,0.31279689,0.158431492,15776.51354,0.13
2009,6,0.412857466,0.338087993,80329.90216,0.34
2010,6,0.463584085,0.650223632,69687.02579,0.66
2011,6,0.409935413,0.31154445,25280.15624,0.3
2012,6,0.417596084,0.206444564,34880.64718,0.19
2013,6,NA,0.443369624,89742.94048,0.44
2014,6,NA,0.313094759,50406.13056,0.29
2015,6,NA,0.642100471,81999.1639,0.66
2016,6,NA,0.368660448,39830.56023,0.37
