date,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
121,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,,,
122,,,,,0,,,,,,,,,0,,0,,0,0,,,,,,,,,,0,,,,,0
123,,,,,0,,,,,,,,,0,,0,,0,0,,,,,,,,,,0,,,,,0
124,,,,,0,,,,,,0,,,0,,0,,0,0,,,,,,,,,,0,,,,,0
125,,,,,0,,,,,0,0,,,0,,0,,0,0,,,,,,,,,,0,,,0,,0
126,,,,,0,,,,,0,0,,,0,,0,,0,0,,,,,0,,,0,,0,0,,0,,0
127,,,,,0,,,,0,0,0,,,0,,0,,0,0,,,,,0,,,0,0,0,0,,0,,0
128,,,0,,0,,,0,0,0,0,,,0,,0,,0,0,,,,0,0,,,0,0,0,0,,0,,0
129,,,0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,0,0,0,,0,,0
130,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,1,0,0,0,,0,,0
131,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,,0,,0
132,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,,0,,0
133,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,,0
134,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,,0,0,0
135,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,0,0,0,0,,0,0,0
136,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,0,0,0,0,,0,0,0
137,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,,0,0,0
138,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,0,0,0
139,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
140,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,,0,0,0
141,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,,0,0,0
142,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0
143,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,,,0,0,0,,0,0,0,0,3,0,0,3,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
146,,0,0,0,0,,0,0,0,0,8,0,0,2,0,0,0,57,0,0,0,0,0,0,0,5,0,3,0,91,0,0,0,0
147,,0,0,0,0,,0,0,0,0,0,0,0,11,2,3,0,1028,0,0,0,0,0,3,0,0,0,8,0,19,0,0,0,0
148,,0,0,0,0,,0,1,0,0,0,0,0,0,2,9,0,101,0,0,0,0,0,7,0,0,1,5,0,201,0,0,0,5
149,,0,0,0,4,,0,0,0,0,0,0,0,6,0,0,0,727,0,0,0,0,1,0,0,11,0,3,0,1,0,0,0,0
150,,0,0,0,5,,7,2,0,0,0,0,1,13,5,15,3,946,0,1,0,0,0,0,0,425,0,3,0,7,1,0,0,0
151,,11,0,0,14,,14,0,0,0,10,0,1,0,19,8,4,741,0,0,0,5,0,5,1,68,0,1,0,69,0,0,0,0
152,,5,5,0,2,,9,0,0,197,9,0,0,172,28,1,0,1072,0,0,0,1311,0,81,1,38,0,2,0,1719,0,1,0,0
153,,6,1,0,2,,17,0,0,344,23,3,0,5,57,300,7,688,0,3,0,826,2,1,1,265,0,0,0,4312,0,6,0,0
154,,7,8,0,4,,16,0,0,198,0,3,0,11,0,183,22,1266,0,4,0,368,4,10,0,11,0,0,0,3435,2,0,1,0
155,,33,4,0,6,,69,11,0,0,14,1,0,0,110,355,0,332,0,3,0,1370,0,18,0,257,0,0,0,114,0,3,0,0
156,,77,5,0,7,,40,15,0,0,21,16,4,98,126,7,61,1753,0,6,0,66,25,4,0,1220,0,0,0,1429,0,1,0,0
157,,0,4,0,21,,90,6,4,609,34,1,0,562,0,1146,247,1241,0,256,0,186,34,9,0,534,0,0,0,3636,0,8,0,2
158,,5,17,0,17,,12,0,2,6,13,11,5,709,274,70,87,910,35,8,0,624,0,17,1,658,0,0,35,86,0,1094,0,0
159,2,2,0,0,13,,185,0,1,184,2,0,35,1459,5,174,39,1309,0,0,0,390,36,40,0,1862,2,3,0,326,0,2,0,0
160,0,0,15,0,31,,2,121,6,1191,16,0,2,496,541,960,751,1353,1,11,0,307,200,2,4,786,33,0,0,122,2,3,1,0
161,0,5,2,2,40,373,307,5,0,3,0,0,171,796,783,414,3,608,0,247,0,289,206,337,1,1260,955,42,0,417,9,637,0,0
162,1,947,1,0,82,24,21,24,0,0,301,0,547,178,42,453,163,307,0,152,0,535,0,339,1,1658,244,424,0,123,1,0,0,37
163,1,675,0,3,136,53,393,0,0,22,744,10,0,3,288,65,138,498,443,3,0,21,0,45,0,2970,484,32,0,2011,9,518,0,16
164,0,252,87,111,199,597,19,0,0,90,809,431,0,0,0,104,324,528,30,0,5,228,1042,2,0,13,1464,571,0,3000,3,22,0,5
165,0,226,263,0,166,1331,5,4,78,1019,530,0,0,519,223,2098,126,115,395,109,0,761,0,5,3,2170,2011,251,1,3573,0,7,0,925
166,0,23,384,170,268,592,1008,20,7,141,0,574,258,707,1465,1092,328,395,0,0,0,221,2,1568,2,2342,141,0,3,1390,6,3,0,345
167,0,2,173,11,156,241,722,265,4,878,11,278,2363,351,1457,128,281,273,2,314,0,424,1015,618,0,3443,383,389,33,201,6,54,0,2697
168,0,4592,730,0,28,101,366,207,90,64,241,0,11,424,110,322,4,593,1298,597,0,233,8,3,2,2131,2083,406,857,2872,12,1019,0,586
169,3,1317,1015,0,1024,2186,248,662,228,0,178,187,1607,1477,618,1262,944,1781,433,996,0,886,382,467,32,948,0,93,273,4688,237,14,2,29
170,2,1506,2132,1156,360,293,43,57,62,726,0,50,2143,85,94,500,894,396,26,656,0,1533,1366,174,344,681,1226,58,103,61,138,677,1,724
171,3,640,34,1486,442,2497,48,1091,1289,716,132,254,82,309,1885,274,234,1805,90,1013,0,368,3739,476,0,1895,623,1029,125,243,98,62,345,117
172,2,2968,3310,1726,649,0,519,929,2857,237,1191,2572,1222,144,1230,486,1946,147,12,293,240,2214,2594,83,16,2458,324,52,3,90,35,16,0,4585
